"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Mike Trout","Angels","140","471","608","147","80","24","4","39","101","79","122","25","124","10","4","0","5","24","2",".312","10155"
"Lorenzo Cain","Brewers","141","539","620","166","129","25","2","10","90","38","71","1","94","8","2","0","10","30","7",".308","9077"
"Mallex Smith","Rays","141","480","544","142","103","27","10","2","65","40","47","0","98","8","2","7","11","40","12",".296","13608"
"Charlie Blackmon","Rockies","156","626","696","182","115","31","7","29","119","70","59","2","134","8","2","1","10","12","4",".291","7859"
"Albert Almora Jr.","Cubs","152","444","479","127","97","24","1","5","62","41","24","1","83","3","6","2","12","1","3",".286","14109"
"Adam Jones","Orioles","145","580","613","163","113","35","0","15","54","63","24","1","93","5","4","0","21","7","1",".281","6368"
"Starling Marte","Pirates","145","559","606","155","98","32","5","20","81","72","35","2","109","8","3","1","11","33","14",".277","9241"
"Tommy Pham","- - -","137","494","570","136","91","18","6","21","102","63","67","2","140","6","3","0","18","15","7",".275","2967"
"Leury Garcia","White Sox","82","258","275","70","55","7","4","4","23","32","9","0","69","3","1","4","2","12","1",".271","5913"
"Dee Gordon","Mariners","141","556","588","149","120","17","8","4","62","36","9","0","80","9","5","9","10","30","12",".268","8203"
"Jake Cave","Twins","91","283","309","75","44","16","2","13","54","45","18","2","102","3","3","2","2","2","1",".265","14477"
"George Springer","Astros","140","544","620","144","96","26","0","22","102","71","64","0","122","5","3","0","12","6","4",".265","12856"
"Ender Inciarte","Braves","156","597","660","158","115","27","6","10","83","61","49","1","86","6","4","4","6","28","14",".265","4922"
"Harrison Bader","Cardinals","138","379","427","100","66","20","2","12","61","37","31","3","125","11","4","2","1","15","3",".264","18030"
"Brandon Nimmo","Mets","140","433","535","114","61","28","8","17","77","47","80","2","140","22","0","0","8","9","6",".263","12927"
"Tony Kemp","Astros","97","255","295","67","46","15","0","6","37","30","32","1","44","3","1","3","7","9","3",".263","14894"
"Cody Bellinger","Dodgers","162","557","632","145","85","28","7","25","84","76","69","9","151","3","3","0","7","14","1",".260","15998"
"Travis Jankowski","Padres","117","347","387","90","71","12","3","4","45","17","37","0","73","1","0","2","7","24","7",".259","13768"
"A.J. Pollock","Diamondbacks","113","413","460","106","59","21","5","21","61","65","31","2","100","8","7","1","6","13","2",".257","9256"
"Greg Allen","Indians","91","265","291","68","52","11","3","2","36","20","14","1","58","7","1","4","5","21","4",".257","16623"
"Enrique Hernandez","Dodgers","145","402","462","103","62","17","3","21","67","52","50","5","78","1","5","4","3","3","0",".256","10472"
"Leonys Martin","- - -","84","318","353","81","52","15","3","11","48","33","30","1","77","3","2","0","2","7","4",".255","11846"
"Odubel Herrera","Phillies","148","550","597","140","96","19","3","22","64","71","38","3","122","7","1","1","11","5","2",".255","11476"
"Chris Taylor","Dodgers","155","536","604","136","76","35","8","17","85","63","55","0","178","9","4","0","5","9","6",".254","13757"
"Kevin Pillar","Blue Jays","142","512","542","129","72","40","2","15","65","59","18","0","98","6","6","0","8","14","3",".252","12434"
"Mark Canha","Athletics","122","365","411","91","52","22","0","17","60","52","34","3","88","10","2","0","11","1","2",".249","11445"
"Bryce Harper","Nationals","159","550","695","137","69","34","0","34","103","100","130","16","169","6","9","0","7","13","3",".249","11579"
"Cameron Maybin","- - -","129","342","384","85","65","14","2","4","32","28","38","1","75","2","2","0","7","10","5",".249","5223"
"Aaron Hicks","Yankees","137","480","581","119","71","18","3","27","90","79","90","1","111","3","6","2","1","11","2",".248","5297"
"Manuel Margot","Padres","141","477","519","117","75","26","8","8","50","51","32","4","88","2","7","1","9","11","10",".245","14712"
"Austin Jackson","- - -","116","347","375","85","64","17","1","3","29","32","26","2","133","1","1","0","8","3","3",".245","9848"
"Michael Conforto","Mets","153","543","638","132","78","25","1","28","78","82","84","8","159","7","4","0","10","3","4",".243","16376"
"Guillermo Heredia","Mariners","125","292","337","69","49","14","1","5","29","19","32","0","52","4","2","7","4","2","4",".236","18721"
"Billy Hamilton","Reds","153","504","556","119","90","16","9","4","74","29","46","0","132","1","4","1","1","34","10",".236","10199"
"Adam Engel","White Sox","143","429","463","101","74","17","4","6","49","29","18","0","129","8","1","7","1","16","8",".235","15082"
"Gorkys Hernandez","Giants","142","414","451","97","64","16","2","15","52","40","27","1","113","4","4","2","14","8","5",".234","4146"
"Jackie Bradley Jr.","Red Sox","144","474","535","111","61","33","4","13","76","59","46","3","137","11","4","0","6","17","1",".234","12984"
"Ian Happ","Cubs","142","387","462","90","54","19","2","15","56","44","70","9","167","3","2","0","6","8","4",".233","17919"
"Michael A. Taylor","Nationals","134","353","385","80","49","22","3","6","46","28","29","2","116","1","0","2","9","24","6",".227","11489"
"Max Kepler","Twins","156","532","611","119","65","30","4","20","80","58","71","2","96","5","3","0","8","4","5",".224","12144"
"Kevin Kiermaier","Rays","88","332","367","72","44","12","9","7","44","29","25","2","91","6","2","2","4","10","5",".217","11038"
"Delino DeShields","Rangers","106","334","393","72","55","14","1","2","52","22","43","0","83","3","1","12","1","20","4",".216","11379"
"JaCoby Jones","Tigers","129","429","467","89","50","22","6","11","54","34","24","0","142","11","2","1","9","13","5",".207","14818"
"Lewis Brinson","Marlins","109","382","406","76","50","10","5","11","31","42","17","2","120","4","2","0","6","2","1",".199","14352"
