"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Christian Yelich","Brewers","147","574","651","187","110","34","7","36","118","110","68","2","135","7","2","0","14","22","4",".326","11477"
"Michael Brantley","Indians","143","570","631","176","121","36","2","17","89","76","48","0","60","5","6","1","15","12","3",".309","4106"
"Ben Zobrist","Cubs","139","455","520","139","99","28","3","9","67","58","55","1","60","2","7","1","8","3","4",".305","7435"
"Corey Dickerson","Pirates","135","504","533","151","96","35","7","13","65","55","21","4","80","4","4","0","14","8","3",".300","10762"
"Jesse Winker","Reds","89","281","334","84","61","16","0","7","38","43","49","4","46","2","1","1","6","0","0",".299","13590"
"Ronald Acuna Jr.","Braves","111","433","487","127","71","26","4","26","78","64","45","2","123","6","3","0","4","16","5",".293","18401"
"David Peralta","Diamondbacks","146","560","614","164","104","25","5","30","75","87","48","4","124","4","2","0","14","4","0",".293","2136"
"Juan Soto","Nationals","116","414","494","121","73","25","1","22","77","70","79","10","99","0","0","1","9","5","2",".292","20123"
"Andrew Benintendi","Red Sox","148","579","661","168","105","41","6","16","103","87","71","1","106","2","7","2","9","21","3",".290","17901"
"Matt Kemp","Dodgers","146","462","506","134","88","25","0","21","62","85","36","2","115","1","7","0","14","0","0",".290","5631"
"Eddie Rosario","Twins","138","559","592","161","104","31","2","24","87","77","30","5","104","0","2","1","4","8","2",".288","12155"
"Gerardo Parra","Rockies","142","401","443","114","91","17","0","6","52","53","32","3","75","5","3","2","6","11","4",".284","8553"
"Marcell Ozuna","Cardinals","148","582","628","163","122","16","2","23","69","88","38","2","110","3","4","0","10","3","0",".280","10324"
"Tommy Pham","- - -","137","494","570","136","91","18","6","21","102","63","67","2","140","6","3","0","18","15","7",".275","2967"
"David Dahl","Rockies","77","249","271","68","38","11","3","16","31","48","19","4","68","1","2","0","4","5","3",".273","13744"
"Robbie Grossman","Twins","129","396","465","108","75","27","1","5","50","48","60","0","83","2","5","2","2","0","1",".273","5254"
"Ben Gamel","Mariners","101","257","293","70","51","14","4","1","37","19","31","1","61","4","1","0","4","7","3",".272","12160"
"Leury Garcia","White Sox","82","258","275","70","55","7","4","4","23","32","9","0","69","3","1","4","2","12","1",".271","5913"
"Charlie Culberson","Braves","113","296","322","80","48","18","2","12","47","45","21","5","85","4","1","0","5","4","2",".270","3298"
"Jon Jay","- - -","143","527","586","141","112","19","7","3","74","40","33","0","95","18","3","5","11","4","3",".268","5227"
"Derek Dietrich","Marlins","149","499","551","132","88","26","2","16","72","45","29","2","140","21","2","0","5","2","0",".265","10542"
"Tony Kemp","Astros","97","255","295","67","46","15","0","6","37","30","32","1","44","3","1","3","7","9","3",".263","14894"
"Denard Span","- - -","137","437","501","114","74","22","7","11","63","58","51","0","79","6","7","0","10","9","4",".261","8347"
"Travis Jankowski","Padres","117","347","387","90","71","12","3","4","45","17","37","0","73","1","0","2","7","24","7",".259","13768"
"Chad Pinder","Athletics","110","298","333","77","51","12","1","13","43","27","27","1","88","6","0","2","4","0","2",".258","15191"
"Justin Upton","Angels","145","533","613","137","88","18","1","30","80","85","64","1","176","10","6","0","12","8","2",".257","5222"
"Ryan Braun","Brewers","125","405","447","103","57","25","1","20","59","64","34","5","85","2","3","0","8","11","5",".254","3410"
"Wil Myers","Padres","83","312","343","79","42","25","1","11","39","39","30","1","94","0","1","0","10","13","1",".253","10047"
"Mark Canha","Athletics","122","365","411","91","52","22","0","17","60","52","34","3","88","10","2","0","11","1","2",".249","11445"
"Jose Pirela","Padres","146","438","473","109","79","23","2","5","54","32","30","1","89","3","2","0","10","6","3",".249","5485"
"Cameron Maybin","- - -","129","342","384","85","65","14","2","4","32","28","38","1","75","2","2","0","7","10","5",".249","5223"
"Hunter Renfroe","Padres","117","403","441","100","50","23","1","26","53","68","30","2","109","3","5","0","9","2","1",".248","15464"
"Joc Pederson","Dodgers","148","395","443","98","43","27","3","25","65","56","40","3","85","4","3","1","6","1","5",".248","11899"
"Marwin Gonzalez","Astros","145","489","552","121","77","25","3","16","61","68","53","3","126","3","2","5","14","2","3",".247","5497"
"Rhys Hoskins","Phillies","153","558","660","137","65","38","0","34","89","96","87","2","150","9","5","0","7","5","3",".246","16472"
"Alex Gordon","Royals","141","506","568","124","87","24","0","13","56","54","50","4","124","10","2","0","7","12","2",".245","5209"
"Michael Conforto","Mets","153","543","638","132","78","25","1","28","78","82","84","8","159","7","4","0","10","3","4",".243","16376"
"Josh Reddick","Astros","134","433","487","105","73","13","2","17","63","47","49","3","77","0","2","1","9","7","2",".242","3892"
"Trey Mancini","Orioles","156","582","636","141","91","23","3","24","69","58","44","1","153","5","5","0","17","0","1",".242","15149"
"Curtis Granderson","- - -","123","343","403","83","46","22","2","13","60","38","54","1","106","4","1","1","3","2","1",".242","4747"
"Teoscar Hernandez","Blue Jays","134","476","523","114","56","29","7","22","67","57","41","0","163","3","3","0","14","5","5",".239","13066"
"Kyle Schwarber","Cubs","137","428","510","102","59","14","3","26","64","61","78","20","140","1","2","1","6","4","3",".238","16478"
"Guillermo Heredia","Mariners","125","292","337","69","49","14","1","5","29","19","32","0","52","4","2","7","4","2","4",".236","18721"
"Brett Gardner","Yankees","140","530","609","125","86","20","7","12","95","45","65","0","107","5","5","4","6","16","2",".236","9927"
"Gorkys Hernandez","Giants","142","414","451","97","64","16","2","15","52","40","27","1","113","4","4","2","14","8","5",".234","4146"
"Ian Happ","Cubs","142","387","462","90","54","19","2","15","56","44","70","9","167","3","2","0","6","8","4",".233","17919"
"Nicky Delmonico","White Sox","88","284","318","61","37","11","5","8","31","25","27","1","80","6","1","0","7","1","2",".215","13157"
"JaCoby Jones","Tigers","129","429","467","89","50","22","6","11","54","34","24","0","142","11","2","1","9","13","5",".207","14818"
"Joey Gallo","Rangers","148","500","577","103","38","24","1","40","82","92","74","4","207","3","0","0","3","3","4",".206","14128"
"Mikie Mahtook","Tigers","67","223","250","45","30","4","2","9","24","29","21","1","66","3","3","0","3","4","1",".202","13130"
"Adam Duvall","- - -","138","384","427","75","40","20","0","15","48","61","37","3","117","5","1","0","9","2","2",".195","10950"
