"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Willians Astudillo","Twins","30","93","97","33","25","4","1","3","9","21","2","0","3","1","1","0","4","0","0",".355","15608"
"Wilson Ramos","- - -","111","382","416","117","79","22","1","15","39","70","32","2","80","0","2","0","20","0","0",".306","1433"
"Curt Casali","Reds","52","140","156","41","27","10","0","4","15","16","12","1","32","2","1","1","5","0","2",".293","12510"
"Kevan Smith","White Sox","52","171","187","50","41","6","0","3","21","21","10","0","18","5","1","0","5","1","0",".292","12284"
"Reese McGuire","Blue Jays","14","31","33","9","4","3","0","2","5","4","2","0","9","0","0","0","0","1","0",".290","15674"
"Elias Diaz","Pirates","82","252","277","72","50","12","0","10","33","34","21","1","40","1","3","0","4","0","1",".286","11680"
"Aramis Garcia","Giants","19","63","65","18","13","1","0","4","8","9","2","0","31","0","0","0","1","0","0",".286","16925"
"Buster Posey","Giants","105","398","448","113","85","22","1","5","47","41","45","3","53","3","2","0","12","3","2",".284","9166"
"Michael Perez","Rays","24","74","80","21","15","5","0","1","9","11","3","0","19","0","2","1","0","0","0",".284","12977"
"J.T. Realmuto","Marlins","125","477","531","132","78","30","3","21","74","74","38","0","104","10","4","0","9","3","2",".277","11739"
"Omar Narvaez","White Sox","97","280","322","77","53","14","1","9","30","30","38","1","65","2","0","2","5","0","2",".275","13338"
"A.J. Ellis","Padres","66","151","183","41","32","8","0","1","19","15","26","1","37","1","2","3","2","0","0",".272","5677"
"Kurt Suzuki","Braves","105","347","388","94","58","24","0","12","45","50","22","0","43","13","6","0","6","0","0",".271","8259"
"Mitch Garver","Twins","103","302","335","81","53","19","2","7","38","45","29","2","72","2","1","1","8","0","0",".268","15161"
"Yan Gomes","Indians","112","403","435","107","65","26","0","16","52","48","21","2","119","8","3","0","4","0","0",".266","9627"
"Jorge Alfaro","Phillies","108","344","377","90","62","16","2","10","35","37","18","6","138","14","1","0","2","3","0",".262","12180"
"Yadier Molina","Cardinals","123","459","503","120","80","20","0","20","55","74","29","0","66","9","6","0","15","4","3",".261","7007"
"Isiah Kiner-Falefa","Rangers","111","356","396","93","69","18","2","4","43","34","28","1","62","6","1","5","14","7","5",".261","16512"
"John Hicks","Tigers","81","288","312","75","53","12","1","9","35","32","22","0","84","0","1","1","9","0","1",".260","12547"
"Meibrys Viloria","Royals","10","27","29","7","5","2","0","0","4","4","1","0","9","0","0","1","1","0","0",".259","17109"
"Francisco Cervelli","Pirates","104","332","404","86","56","15","3","12","39","57","51","1","84","15","4","2","7","2","3",".259","5275"
"Welington Castillo","White Sox","49","170","181","44","31","7","0","6","17","15","9","0","46","2","0","0","7","1","0",".259","3256"
"Austin Wynns","Orioles","42","110","118","28","22","2","0","4","16","11","5","0","25","0","0","3","7","0","0",".255","15271"
"Manny Pina","Brewers","98","306","337","77","53","13","2","9","39","28","21","3","62","5","4","1","13","2","0",".252","2829"
"Willson Contreras","Cubs","138","474","544","118","76","27","5","10","50","54","53","2","121","13","2","2","14","4","1",".249","11609"
"Tucker Barnhart","Reds","138","460","522","114","80","21","3","10","50","46","54","2","96","2","3","3","13","0","4",".248","10200"
"Luke Maile","Blue Jays","68","202","231","50","33","13","1","3","22","27","25","0","67","2","2","0","4","2","0",".248","13355"
"Danny Jansen","Blue Jays","31","81","95","20","11","6","0","3","12","8","9","0","17","4","1","0","1","0","0",".247","16535"
"Austin Romine","Yankees","77","242","265","59","37","12","0","10","30","42","17","0","67","2","3","1","10","1","0",".244","5491"
"Nick Hundley","Giants","96","282","305","68","43","13","2","10","34","31","22","2","85","1","0","0","8","2","1",".241","3376"
"Jonathan Lucroy","Athletics","126","415","454","100","74","21","1","4","41","51","29","1","65","3","6","1","12","0","0",".241","7870"
"Yasmani Grandal","Dodgers","140","440","518","106","57","23","2","24","65","68","72","1","124","3","3","0","12","2","1",".241","11368"
"Jose Briceno","Angels","46","117","128","28","21","2","0","5","12","10","8","0","35","2","0","1","2","0","1",".239","13151"
"Matt Wieters","Nationals","76","235","271","56","40","8","0","8","24","30","30","3","45","3","2","1","5","0","1",".238","4298"
"Chris Herrmann","Mariners","36","76","87","18","10","4","2","2","6","7","10","0","24","0","1","0","0","0","0",".237","9284"
"Erik Kratz","Brewers","67","203","219","48","36","6","0","6","18","23","6","0","40","7","2","1","8","1","0",".236","4403"
"Salvador Perez","Royals","129","510","544","120","70","23","0","27","52","80","17","0","108","12","5","0","19","1","1",".235","7304"
"Rene Rivera","- - -","33","86","91","20","12","4","0","4","8","11","4","0","35","1","0","0","3","0","0",".233","3648"
"Victor Caratini","Cubs","76","181","200","42","33","7","0","2","21","21","12","0","42","4","1","2","5","0","0",".232","14968"
"Spencer Kieboom","Nationals","52","125","143","29","22","5","0","2","16","13","16","0","28","1","1","0","2","0","0",".232","13300"
"Austin Hedges","Padres","91","303","326","70","40","14","2","14","29","37","21","3","90","1","1","0","9","3","0",".231","12976"
"Blake Swihart","Red Sox","82","192","207","44","31","10","0","3","28","18","15","0","57","0","0","0","4","6","1",".229","13176"
"Tyler Flowers","Braves","82","251","296","57","40","9","0","8","34","30","35","0","76","9","1","0","6","0","0",".227","9134"
"Max Stassi","Astros","88","221","250","50","29","13","0","8","28","27","23","0","74","6","0","0","6","0","0",".226","10059"
"Tom Murphy","Rockies","37","93","96","21","11","7","1","2","5","11","3","1","44","0","0","0","2","0","1",".226","13499"
"Martin Maldonado","- - -","119","373","404","84","56","18","1","9","39","44","16","0","98","11","2","2","8","0","1",".225","6887"
