"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Blake Treinen","Athletics","9","2","0.78","68","0","0","0","38","0","5","80.1","315","46","12","7","2","21","3","1","6","0","100","12572"
"Jeremy Jeffress","Brewers","8","1","1.29","73","0","0","0","15","18","5","76.2","299","49","12","11","5","27","4","1","4","0","89","9490"
"Jared Hughes","Reds","4","3","1.94","72","0","0","0","7","15","4","78.2","298","57","17","17","4","23","2","2","5","0","59","9325"
"Edwin Diaz","Mariners","0","4","1.96","73","0","0","0","57","0","4","73.1","280","41","17","16","5","17","0","6","3","1","124","14710"
"Collin McHugh","Astros","6","2","1.99","58","0","0","0","0","12","1","72.1","283","45","18","16","6","21","0","5","0","0","94","7531"
"T.J. McFarland","Diamondbacks","2","2","2.00","47","0","0","0","1","1","0","72.0","292","64","18","16","4","22","3","0","2","0","42","3237"
"Kirby Yates","Padres","5","3","2.14","65","0","0","0","12","16","1","63.0","250","41","15","15","6","17","0","4","2","0","90","9073"
"Steve Cishek","Cubs","4","3","2.18","80","0","0","0","4","25","3","70.1","288","45","19","17","5","28","4","9","2","0","78","6483"
"Dylan Floro","- - -","6","3","2.25","54","0","0","0","0","7","0","64.0","271","57","17","16","3","23","6","1","1","2","58","13394"
"Seth Lugo","Mets","2","2","2.30","49","0","0","0","3","11","1","78.1","308","57","22","20","5","22","3","2","2","1","76","12447"
"Raisel Iglesias","Reds","2","5","2.38","66","0","0","0","30","0","4","72.0","291","52","22","19","12","25","2","2","2","0","80","17130"
"Kyle Crick","Pirates","3","2","2.39","64","0","0","0","2","16","1","60.1","255","45","18","16","3","23","3","7","9","2","65","13182"
"Jose Alvarado","Rays","1","6","2.39","70","0","0","0","8","32","4","64.0","263","42","21","17","1","29","4","1","2","0","80","17780"
"Adam Ottavino","Rockies","6","4","2.43","75","0","0","0","6","34","5","77.2","309","41","25","21","5","36","5","6","7","0","112","1247"
"Josh Hader","Brewers","6","1","2.43","55","0","0","0","12","21","5","81.1","306","36","23","22","9","30","0","1","0","1","143","14212"
"Yoshihisa Hirano","Diamondbacks","4","3","2.44","75","0","0","0","3","32","4","66.1","262","49","22","18","6","23","4","2","6","1","59","19756"
"Richard Rodriguez","Pirates","4","3","2.47","63","0","0","0","0","15","0","69.1","279","55","19","19","5","19","3","5","11","0","88","13549"
"Reyes Moronta","Giants","5","2","2.49","69","0","0","0","1","12","5","65.0","262","34","20","18","4","37","4","0","5","0","79","14966"
"Chad Green","Yankees","8","3","2.50","63","0","0","0","0","12","4","75.2","298","64","22","21","9","15","2","1","3","0","94","15552"
"David Hernandez","Reds","5","2","2.53","57","0","0","0","0","15","6","64.0","254","46","20","18","6","17","1","5","3","2","65","4259"
"Ryan Pressly","- - -","2","1","2.54","77","0","0","0","2","21","6","71.0","292","57","21","20","6","22","1","3","8","0","101","7005"
"Jesse Chavez","- - -","5","2","2.55","62","0","0","0","5","7","1","95.1","377","84","28","27","13","17","1","0","1","0","92","5448"
"Tony Watson","Giants","4","6","2.59","72","0","0","0","0","32","4","66.0","261","54","19","19","4","14","3","1","0","0","72","3132"
"Seung Hwan Oh","- - -","6","3","2.63","73","0","0","0","3","21","6","68.1","274","52","21","20","8","17","1","4","3","0","79","18719"
"Taylor Rogers","Twins","1","2","2.63","72","0","0","0","2","18","2","68.1","260","49","20","20","3","16","3","2","0","0","75","13449"
"Sam Dyson","Giants","4","3","2.69","74","0","0","0","3","15","5","70.1","273","56","23","21","5","20","1","3","2","0","56","11710"
"Dellin Betances","Yankees","4","6","2.70","66","0","0","0","4","20","3","66.2","272","44","22","20","7","26","2","5","4","1","115","6216"
"Felipe Vazquez","Pirates","4","2","2.70","70","0","0","0","37","0","5","70.0","296","63","24","21","4","24","2","1","3","0","89","12076"
"Jose Alvarez","Angels","6","4","2.71","76","0","0","0","1","14","3","63.0","261","51","20","19","3","22","2","2","1","0","59","5358"
